ioType|FileName|FileType|FileFormat|FileLoc|DataClass|DataInfo|DataReq|DataEx
derived|aoi_lulc_series|csv time series|txt|"./datasets/observed"|observed|Yearly time series of project file paths to LULC .asc raster maps of the AOI basin in the observation period. |>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous). >> Mandatory fields: >>> "Date": date of record (month and day can be arbitrary). >>> "File": file path to input LULC .asc raster map. Ex: "C:/mydata/lulc_map_01.asc" |sample file
derived|aoi_shru_param|csv data frame|txt|"./datasets/observed"|observed|Data frame of Surface Hydrologic Response Units (SHRU) classes for the AOI basin.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>>"IdSHRU": unique integer number of SHRU class index;>>> "SHRUName": one-word name of SHRU class. >>> All fields of LULC parameters file. >>> All fields of Soils parameter file. >>> "f_EfRootZone": positive real number - factor of reference effective root zone depth in mm, computed as "Porosity" x  "f_RootDepth". |sample file
derived|aoi_shru_series|csv time series|txt|"./datasets/observed"|observed|Yearly time series of project file paths to SHRU .asc raster maps of the AOI basin in the observation period. |>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No missing years allowed. >> Mandatory fields: >>> "Date": date of record (month and day can be arbitrary). >>> "File": file path to SHRU .asc raster maps.|sample file
derived|aoi_slope|raster map|asc|"./datasets/observed"|observed|Raster map of terrain slope for the AOI basin.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters).  >> Grid cells must be squared. >> Cells values units: degrees.|slope
derived|aoi_twito|raster map|asc|"./datasets/observed"|observed|Raster map of the Topographic Wetness Index (`TWI`) added to the natural log of inverse transmissivity factor for the AOI basin.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: TWI units.|twi
derived|calib_etpat_series|csv time series|txt|"./datasets/observed"|observed|Daily time series of ET-proxy pattern maps for the calibration basin. |>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD".  >> Note: record gaps are allowed. >> Mandatory fields: >>> "Date": date of record (day can be arbitrary). >>> "File": file path to input etpat .asc raster map. Ex: "C:/..../etpat/calib_etpat_2019-01-01.asc" |sample file
derived|calib_shru|raster map|asc|"./datasets/observed"|observed|Raster map of Surface Hydrologic Response Units (SHRU) for the calibration basin. Each SHRU class receives an index number defined in the shru_calib_param file. |>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: class index.|shru
derived|calib_shru_param|csv data frame|txt|"./datasets/observed"|observed|Data frame of Surface Hydrologic Response Units (SHRU) classes for the calibration basin.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>>"IdSHRU": unique integer number of SHRU class index;>>> "SHRUName": one-word name of SHRU class. >>> All fields of LULC parameters file. >>> All fields of Soils parameter file. >>> "f_EfRootZone": positive real number - factor of reference effective root zone depth in mm, computed as "Porosity" x  "f_RootDepth". |sample file
derived|calib_slope|raster map|asc|"./datasets/observed"|observed|Raster map of terrain slope for the calibration basin.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: degrees.|slope
derived|aoi_fto|raster map|asc|"./datasets/observed"|observed|Raster map of local unitless factor of basin soil transmissivity `To` of AOI basin.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: unitless.|fto
derived|calib_fto|raster map|asc|"./datasets/observed"|observed|Raster map of local unitless factor of basin soil transmissivity `To` of Calib basin.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: unitless.|fto
derived|calib_twito|raster map|asc|"./datasets/observed"|observed|Raster map of the Topographic Wetness Index (`TWI`) added to the natural log of inverse transmissivity factor for the calibration basin.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: TWI units.|twi
derived|calib_basin_histograms|csv data frame|txt|"./datasets/observed"|observed|Data frame of histograms of TWI (rows) and SHRU index (columns) of CALIB basin. Values are in counted cells.|>> Field separator: semicolon ";". >> Decimal separator: period ".".  >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store positive integer values of the histogram of TWI within each SHRU.|sample file
extracted|aoi_basin_histograms_YYYY-MM-DD|csv data frame|txt|"./datasets/observed"|observed|Data frame of histograms of TWI (rows) and SHRU index (columns) of AOI basin in date YYYY-MM-DD. Values are in counted cells.|>> Field separator: semicolon ";". >> Decimal separator: period ".".  >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store positive integer values of the histogram of TWI within each SHRU.|sample file
derived|calib_histograms|csv data frame|txt|"./datasets/observed"|observed|Data frame of histograms of TWI (rows) and SHRU index (columns) of CALIB full extension. Values are in counted cells.|>> Field separator: semicolon ";". >> Decimal separator: period ".".  >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store positive integer values of the histogram of TWI within each SHRU.|sample file
derived|calib_etpat_zmaps|csv time series|txt|"./datasets/observed"|observed|Daily time series of ET-proxy pattern Z-maps for the calibration basin. |>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD".  >> Note: record gaps are allowed. >> Mandatory fields: >>> "Date": date of record (day can be arbitrary). >>> "File": file path to input etpat zmap csv data frame. Ex: "C:/..../etpat/calib_etpat_2019-01-01_zmap.txt" |sample file
extracted|aoi_histograms_YYYY-MM-DD|csv data frame|txt|"./datasets/observed"|observed|Data frame of histograms of TWI (rows) and SHRU index (columns) of AOI basin  in year YYYY. Values are in counted cells.|>> Field separator: semicolon ";". >> Decimal separator: period ".".  >> Mandatory fields: >>> "TWI\SHRU": TWI positive real values of TWI histogram bins. >> The "TWI\SHRU" field must be the first field. >>  The following fields after "TWI\SHRU" must be the index number values of each SHRU class and store positive integer values of the histogram of TWI within each SHRU.|sample file
extracted|aoi_lulc_YYYY-MM-DD|raster map|asc|"./datasets/observed/lulc"|observed|Raster map of LULC of AOI basin in year YYYY.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: class index.|lulc
extracted|aoi_shru_YYYY-MM-DD|raster map|asc|"./datasets/observed/shru"|observed|Raster map of SHRU of AOI basin in year YYYY. This file is extracted to the `shru` folder during the derivation of the `aoi_shru_sreies` file.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: class index.|shru
extracted|calib_etpat_YYYY-MM-DD|raster map|asc|"./datasets/observed/lulc"|observed|Raster map of ET pattern of calibration basin in month YYYY-MM.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: any units.|etpat
input|aoi_basin|raster map|asc|"./datasets/observed"|observed|Boolean raster map of the area of AOI (Area Of Interest) basin.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: boolean (1.0 and 0.0). >>  Cells must be 1.0 where the the area is TRUE and 0.0 where the area is FALSE.|basin
input|aoi_dem|raster map|asc|"./datasets/observed"|observed|Raster map of Digital Elevation Model (DEM) of the AOI basin.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters).  >> Grid cells must be squared.|dem
input|aoi_lulc_param|csv data frame|txt|"./datasets/observed"|observed|Data frame of LULC classes for the AOI basin.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Mandatory fields: >>>"IdLULC": unique integer number of LULC class index.>>> "LULCName": one-word name of LULC class.>>> "LULCAlias": one-word alias of LULC class.>>>"f_Canopy":  positive real number - unitless factor of reference effective canopy storage capacity. >>> "f_Surface": positive real  number - unitless factor reference effective surface storage capacity.  >>>"f_RootDepth": positive real  number - unitless factor of reference root zone depth. >>>"f_IRA": positive real  number - unitless factor of irrigation input that is intercepted by canopy. >>> "f_IRI": positive real number - unitless factor of irrigation input that is not intercepted by canopy.>>>"CanopySeason": list of four months aliases separated by "&" (ex: Sep & Nov & Feb & Jun). The months order must reflect the starting phases of canopy growth, peak, decay and dormancy.  If seasonality is not allowed must store "none" code.>>>"f_CanopyBackg": positive real number lower or equal to 1.0 - unitless factor of canopy background value during dormancy period.>>>"C_USLE": positive real number - unitless factor C of soil cover of USLE. >>> "P_USLE": positive real number - unitless factor P of conservation practices of USLE. >>> "ConvertTo": list of LULC classes allowed to conversion separated by "&". If conversion is not allowed must store "none" code. >>> "ColorLULC": CSS color name available in Matplotlib (ex: "blue") or hex code of color (ex: "#5234eb").|sample file
input|aoi_lulc_series_input|csv time series|txt|"./datasets/observed"|observed|Yearly time series of input file paths to LULC .asc raster maps of the AOI basin in the observation period. |>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD".  >> No record gaps are allowed (the time series must be continuous). >> Mandatory fields: >>> "Date": date of record (month and day can be arbitrary). >>> "File": file path to input LULC .asc raster map. Ex: "C:/mydata/lulc_map_01.asc" |sample file
input|aoi_series|csv time series|txt|"./datasets/observed"|observed|Long term daily time series of climatic data for the AOI basin.|>> Field separator: semicolon ";". >> Decimal separator: period ".". >> Date format: "YYYY-MM-DD". >> No record gaps are allowed (the time series must be continuous). >> Mandatory fields: >>> "Date": date of record. >>> "Prec": daily accumulated precipitation in mm. >>> "Temp": mean daily temperature in Celsius. |sample file
input|aoi_twi|raster map|asc|"./datasets/observed"|observed|Raster map of the Topographic Wetness Index (TWI) for the AOI basin.|>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: TWI units.|twi
input|aoi_soils|raster map|asc|"./datasets/observed"|observed|Raster map of soils for the AOI (Area Of Interest) basin. Each soil class receives an index number defined in the soils_calib_param file. |>> Must match the same size (rows and columns) of other related raster maps. >> CRS must be projected (coordinates in meters). >> Grid cells must be squared. >> Cells values units: class index.|soils
